Execution Time,3-numpy_dot[ms],4-numpy_matmul[ms],5-numpy_@[ms]
1,0.00180768966674805,0.00185799598693848,0.00183844566345215
2,0.00181674957275391,0.00184178352355957,0.00185656547546387
3,0.00181365013122559,0.00188875198364258,0.00185346603393555
4,0.0018162727355957,0.00185656547546387,0.00183534622192383
5,0.00179696083068848,0.00183796882629395,0.00185561180114746
6,0.00182104110717773,0.00184130668640137,0.00183415412902832
7,0.00179362297058105,0.00185799598693848,0.00184798240661621
8,0.00183701515197754,0.00183677673339844,0.00183200836181641
9,0.00180959701538086,0.00183725357055664,0.00184369087219238
10,0.00181913375854492,0.00184988975524902,0.00185680389404297
Average,0.00181317329406738,0.00185062885284424,0.00184540748596192
Std Deviation,1.23666511423784E-05,1.5964928519818E-05,9.93811208752417E-06
